"","X","id","name","cname","date","variable","aoi","mean","interpl"
"30",30,1,NA,"X_2021.06.01","2021-06-01","CH4","AOI_BO_City",1856.54934239151,1856.54934239151
"31",31,1,NA,"X_2021.07.01","2021-07-01","CH4","AOI_BO_City",1847.92426488733,1847.92426488733
"32",32,1,NA,"X_2021.08.01","2021-08-01","CH4","AOI_BO_City",1857.89525713607,1857.89525713607
"33",33,1,NA,"X_2021.09.01","2021-09-01","CH4","AOI_BO_City",1878.95735749383,1878.95735749383
"34",34,1,NA,"X_2021.10.01","2021-10-01","CH4","AOI_BO_City",1869.83480451929,1869.83480451929
"35",35,1,NA,"X_2021.11.01","2021-11-01","CH4","AOI_BO_City",1890.09031845547,1890.09031845547
"36",36,1,NA,"X_2021.12.01","2021-12-01","CH4","AOI_BO_City",1893.38765443356,1893.38765443356
"37",37,1,NA,"X_2022.01.01","2022-01-01","CH4","AOI_BO_City",1879.89071867577,1879.89071867577
"38",38,1,NA,"X_2022.02.01","2022-02-01","CH4","AOI_BO_City",1873.42390449644,1873.42390449644
"39",39,1,NA,"X_2022.03.01","2022-03-01","CH4","AOI_BO_City",1867.12653789212,1867.12653789212
"40",40,1,NA,"X_2022.04.01","2022-04-01","CH4","AOI_BO_City",1867.7845155095,1867.7845155095
"41",41,1,NA,"X_2022.05.01","2022-05-01","CH4","AOI_BO_City",1866.9883281595,1866.9883281595
"42",42,1,NA,"X_2022.06.01","2022-06-01","CH4","AOI_BO_City",1876.04994480099,1876.04994480099
"43",43,1,NA,"X_2022.07.01","2022-07-01","CH4","AOI_BO_City",1879.70265124139,1879.70265124139
"44",44,1,NA,"X_2022.08.01","2022-08-01","CH4","AOI_BO_City",1876.94958479116,1876.94958479116
"45",45,1,NA,"X_2022.09.01","2022-09-01","CH4","AOI_BO_City",1892.41689127642,1892.41689127642
"46",46,1,NA,"X_2022.10.01","2022-10-01","CH4","AOI_BO_City",1904.23196027247,1904.23196027247
"47",47,1,NA,"X_2022.11.01","2022-11-01","CH4","AOI_BO_City",1907.15186777602,1907.15186777602
"48",48,1,NA,"X_2022.12.01","2022-12-01","CH4","AOI_BO_City",1900.66181721846,1900.66181721846
"49",49,1,NA,"X_2023.01.01","2023-01-01","CH4","AOI_BO_City",1902.46917086557,1902.46917086557
"50",50,1,NA,"X_2023.02.01","2023-02-01","CH4","AOI_BO_City",1885.7298609199,1885.7298609199
"51",51,1,NA,"X_2023.03.01","2023-03-01","CH4","AOI_BO_City",1883.39591818388,1883.39591818388
"52",52,1,NA,"X_2023.04.01","2023-04-01","CH4","AOI_BO_City",1896.50044794975,1896.50044794975
"53",53,1,NA,"X_2023.05.01","2023-05-01","CH4","AOI_BO_City",1882.83633705067,1882.83633705067
"54",54,1,NA,"X_2023.06.01","2023-06-01","CH4","AOI_BO_City",1880.93526760892,1880.93526760892
"55",55,1,NA,"X_2023.07.01","2023-07-01","CH4","AOI_BO_City",1883.10580381272,1883.10580381272
"56",56,1,NA,"X_2023.08.01","2023-08-01","CH4","AOI_BO_City",1871.38617568418,1871.38617568418
"57",57,1,NA,"X_2023.09.01","2023-09-01","CH4","AOI_BO_City",1893.19496988433,1893.19496988433
"58",58,1,NA,"X_2023.10.01","2023-10-01","CH4","AOI_BO_City",1898.5342921746,1898.5342921746
"59",59,1,NA,"X_2023.11.01","2023-11-01","CH4","AOI_BO_City",1911.38805835993,1911.38805835993
"60",60,1,NA,"X_2023.12.01","2023-12-01","CH4","AOI_BO_City",1905.92708571813,1905.92708571813
"61",61,1,NA,"X_2024.01.01","2024-01-01","CH4","AOI_BO_City",1908.46206735275,1908.46206735275
"62",62,1,NA,"X_2024.02.01","2024-02-01","CH4","AOI_BO_City",1901.9354006364,1901.9354006364
"63",63,1,NA,"X_2024.03.01","2024-03-01","CH4","AOI_BO_City",1892.90813952359,1892.90813952359
"64",64,1,NA,"X_2024.04.01","2024-04-01","CH4","AOI_BO_City",1902.54989737214,1902.54989737214
"65",65,1,NA,"X_2024.05.01","2024-05-01","CH4","AOI_BO_City",1902.40233082284,1902.40233082284
"66",66,1,NA,"X_2024.06.01","2024-06-01","CH4","AOI_BO_City",1892.050783705,1892.050783705
"67",67,1,NA,"X_2024.07.01","2024-07-01","CH4","AOI_BO_City",1884.67283535656,1884.67283535656
"68",68,1,NA,"X_2024.08.01","2024-08-01","CH4","AOI_BO_City",1885.21927647284,1885.21927647284
"69",69,1,NA,"X_2024.09.01","2024-09-01","CH4","AOI_BO_City",1912.67971406657,1912.67971406657
"70",70,1,NA,"X_2024.10.01","2024-10-01","CH4","AOI_BO_City",1920.90936729907,1920.90936729907
"71",71,1,NA,"X_2024.11.01","2024-11-01","CH4","AOI_BO_City",1909.765578949,1909.765578949
"72",72,1,NA,"X_2024.12.01","2024-12-01","CH4","AOI_BO_City",1917.97626508694,1917.97626508694
